Date,Total Incidents
2017-01-01,342
2017-01-02,176
2017-01-03,201
2017-01-04,163
2017-01-05,136
2017-01-06,131
2017-01-07,144
2017-01-08,136
2017-01-09,158
2017-01-10,172
2017-01-11,171
2017-01-12,169
2017-01-13,176
2017-01-14,187
2017-01-15,177
2017-01-16,186
2017-01-17,180
2017-01-18,187
2017-01-19,163
2017-01-20,168
2017-01-21,191
2017-01-22,174
2017-01-23,162
2017-01-25,170
2017-01-26,162
2017-01-27,173
2017-01-28,195
2017-01-29,170
2017-01-30,174
2017-01-31,164
2017-02-01,170
2017-02-02,141
2017-02-03,158
2017-02-04,145
2017-02-05,152
2017-02-06,172
2017-02-07,191
2017-02-08,150
2017-02-09,155
2017-02-10,155
2017-02-11,201
2017-02-12,172
2017-02-13,160
2017-02-14,168
2017-02-15,149
2017-02-16,149
2017-02-17,169
2017-02-18,175
2017-02-19,216
2017-02-20,179
2017-02-21,163
2017-02-22,175
2017-02-23,155
2017-02-24,162
2017-02-25,144
2017-02-26,128
2017-02-27,160
2017-02-28,171
2017-03-01,149
2017-03-02,152
2017-03-03,141
2017-03-04,161
2017-03-05,154
2017-03-06,145
2017-03-07,152
2017-03-08,146
2017-03-09,161
2017-03-10,132
2017-03-11,133
2017-03-12,137
2017-03-13,134
2017-03-14,127
2017-03-15,152
2017-03-16,154
2017-03-17,150
2017-03-18,162
2017-03-19,186
2017-03-20,174
2017-03-21,170
2017-03-22,171
2017-03-23,148
2017-03-24,175
2017-03-25,202
2017-03-26,206
2017-03-27,178
2017-03-28,181
2017-03-29,206
2017-03-30,196
2017-03-31,159
2017-04-01,170
2017-04-02,196
2017-04-03,172
2017-04-04,200
2017-04-05,174
2017-04-06,165
2017-04-07,176
2017-04-08,191
2017-04-09,207
2017-04-10,193
2017-04-11,184
2017-04-12,200
2017-04-13,197
2017-04-14,196
2017-04-15,200
2017-04-16,229
2017-04-17,180
2017-04-18,178
2017-04-19,179
2017-04-20,161
2017-04-21,167
2017-04-22,222
2017-04-23,204
2017-04-24,173
2017-04-25,173
2017-04-26,192
2017-04-27,167
2017-04-28,165
2017-04-29,183
2017-04-30,183
2017-05-01,176
2017-05-02,168
2017-05-03,185
2017-05-04,120
2017-05-05,177
2017-05-06,161
2017-05-07,216
2017-05-08,195
2017-05-09,178
2017-05-10,172
2017-05-11,162
2017-05-12,170
2017-05-13,204
2017-05-14,185
2017-05-15,187
2017-05-16,197
2017-05-17,190
2017-05-18,164
2017-05-19,168
2017-05-20,168
2017-05-21,191
2017-05-22,172
2017-05-23,174
2017-05-24,186
2017-05-25,170
2017-05-26,181
2017-05-27,217
2017-05-28,242
2017-05-29,217
2017-05-30,201
2017-05-31,172
2017-06-01,159
2017-06-02,193
2017-06-03,180
2017-06-04,176
2017-06-05,169
2017-06-06,187
2017-06-07,168
2017-06-08,186
2017-06-09,139
2017-06-10,153
2017-06-11,194
2017-06-12,162
2017-06-13,168
2017-06-14,135
2017-06-15,184
2017-06-16,148
2017-06-17,206
2017-06-18,190
2017-06-19,185
2017-06-20,178
2017-06-21,175
2017-06-22,158
2017-06-23,161
2017-06-24,182
2017-06-25,178
2017-06-26,164
2017-06-27,162
2017-06-28,205
2017-06-29,168
2017-06-30,145
2017-07-01,176
2017-07-02,204
2017-07-03,165
2017-07-04,248
2017-07-05,209
2017-07-06,175
2017-07-07,172
2017-07-08,184
2017-07-09,208
2017-07-10,170
2017-07-11,169
2017-07-12,184
2017-07-13,166
2017-07-14,161
2017-07-15,183
2017-07-16,194
2017-07-17,181
2017-07-18,162
2017-07-19,198
2017-07-20,157
2017-07-21,153
2017-07-22,155
2017-07-23,192
2017-07-24,154
2017-07-25,201
2017-07-26,168
2017-07-27,155
2017-07-28,161
2017-07-29,166
2017-07-30,205
2017-07-31,171
2017-08-01,176
2017-08-02,166
2017-08-03,195
2017-08-04,158
2017-08-05,193
2017-08-06,196
2017-08-07,167
2017-08-08,183
2017-08-09,156
2017-08-10,151
2017-08-11,165
2017-08-12,160
2017-08-13,192
2017-08-14,170
2017-08-15,202
2017-08-16,133
2017-08-17,148
2017-08-18,156
2017-08-19,170
2017-08-20,191
2017-08-21,161
2017-08-22,148
2017-08-23,187
2017-08-24,150
2017-08-25,158
2017-08-26,150
2017-08-27,180
2017-08-28,160
2017-08-29,170
2017-08-30,152
2017-08-31,158
2017-09-01,162
2017-09-02,143
2017-09-03,206
2017-09-04,172
2017-09-05,142
2017-09-06,130
2017-09-07,133
2017-09-08,129
2017-09-09,160
2017-09-10,126
2017-09-11,135
2017-09-12,166
2017-09-13,140
2017-09-14,158
2017-09-15,160
2017-09-16,153
2017-09-17,194
2017-09-18,159
2017-09-19,170
2017-09-20,173
2017-09-21,162
2017-09-22,162
2017-09-23,188
2017-09-24,206
2017-09-25,162
2017-09-26,149
2017-09-27,164
2017-09-28,143
2017-09-29,181
2017-09-30,162
2017-10-01,171
2017-10-02,164
2017-10-03,170
2017-10-04,172
2017-10-05,165
2017-10-06,163
2017-10-07,175
2017-10-08,179
2017-10-09,160
2017-10-10,162
2017-10-11,133
2017-10-12,146
2017-10-13,167
2017-10-14,197
2017-10-15,168
2017-10-16,154
2017-10-17,138
2017-10-18,174
2017-10-19,157
2017-10-20,175
2017-10-21,220
2017-10-22,167
2017-10-23,168
2017-10-24,144
2017-10-25,174
2017-10-26,181
2017-10-27,158
2017-10-28,178
2017-10-29,191
2017-10-30,145
2017-10-31,185
2017-11-01,182
2017-11-02,142
2017-11-03,167
2017-11-04,186
2017-11-05,199
2017-11-06,130
2017-11-07,160
2017-11-08,144
2017-11-09,137
2017-11-10,146
2017-11-11,164
2017-11-12,171
2017-11-13,175
2017-11-14,156
2017-11-15,142
2017-11-16,151
2017-11-17,141
2017-11-18,187
2017-11-19,175
2017-11-20,129
2017-11-21,154
2017-11-22,142
2017-11-23,133
2017-11-24,170
2017-11-25,180
2017-11-26,185
2017-11-27,181
2017-11-28,158
2017-11-29,172
2017-11-30,143
2017-12-01,161
2017-12-02,168
2017-12-03,154
2017-12-04,138
2017-12-05,151
2017-12-06,146
2017-12-07,155
2017-12-08,131
2017-12-09,141
2017-12-10,154
2017-12-11,174
2017-12-12,151
2017-12-13,168
2017-12-14,118
2017-12-15,130
2017-12-16,164
2017-12-17,170
2017-12-18,153
2017-12-19,186
2017-12-20,159
2017-12-21,151
2017-12-22,169
2017-12-23,157
2017-12-24,133
2017-12-25,119
2017-12-26,151
2017-12-27,135
2017-12-28,119
2017-12-29,119
2017-12-30,145
2017-12-31,152
